Item #,Item Title,Collection,Product Type,WebDescription,Unit Price,MSRP,Image
ROL1041BL,14K Blue & White Diamond Rhythm Of Love Pendant 1 1/4 ctw (1 ct Center Blue),Rhythm of Love,Diamond Pendant,"This gorgeous 14K White Gold Rhythm of Love Blue Diamond pendant is set with 21 round-cut diamonds, weighing 1 1/4 ctw. Center diamond weight is 1 ct.",,4999.2647,ROL1041BL.jpg
ROL1041P,14K Diamond Rhythm Of Love Pendant 1 1/4 ctw (1 ct Center),Rhythm of Love,Diamond Pendant,"This gorgeous 14K RoseGold Rhythm of Love Diamond pendant is set with 21 round-cut diamonds, weighing 1 1/4 ctw. Center diamond weight is 1 ct.",,6800,ROL1041P.jpg
ROL1041PBRN,14KP Brown & White Diamond Rhythm Of Love Pendant 1 1/4 ctw,Rhythm of Love,Diamond Pendant,"This gorgeous 14K White Gold Rhythm of Love Brown Diamond pendant is set with 21 round-cut diamonds, weighing 1 1/4 ctw. Center diamond weight is 1 ct.",,4999,ROL1041PBRN.jpg
ROL1041T,14K Tanzanite & Diamond ROL Pendant 1 1/4 ctw,Rhythm of Love,Gemstone Pendant,"This gorgeous 14K White Gold Rhythm of Love Diamond pendant is set with 20 round-cut diamonds, weighing 1 1/4 ctw. Center Tanzanite weight is 1 ct.",,1699,ROL1041T.jpg
ROL1041Y,14K Diamond Rhythm Of Love Pendant 1 1/4 ctw (1 ct Center),Rhythm of Love,Diamond Pendant,"This gorgeous 14K Yellow Gold Rhythm of Love Diamond pendant is set with 21 round-cut diamonds, weighing 1 1/4 ctw. Center diamond weight is 1 ct.",,6800,ROL1041Y.jpg
ROL1042,14K Diamond Rhythm Of Love Pendant 3/4 ctw,Rhythm of Love,Diamond Pendant,"This stunning 14K White Gold Rhythm of Love Diamond pendant is set with 18 round-cut diamonds, weighing 3/4 ctw.",,3500,ROL1042.jpg
ROL1042BL,14K Blue & White Diamond Rhythm Of Love Pendant 3/4 ctw ( 1/2 ct Blue Center ),Rhythm of Love,Diamond Pendant,"This stunning 14K White Gold Rhythm of Love Blue & White Diamond pendant is set with 18 round-cut diamonds, weighing 3/4 ctw.",,2000,ROL1042BL.jpg
ROL1042BRN,14K Brown & White Diamond Rhythm Of Love Pendant 3/4 ctw (1/2 ct Brown Center),Rhythm of Love,Diamond Pendant,"This stunning 14K White Gold Rhythm of Love Brown Diamond pendant is set with 18 round-cut diamonds, weighing 3/4 ctw.",,2000,ROL1042BRN.jpg
ROL1042GN,14K Green & White Diamond Rhythm Of Love Pendant 3/4 ctw,Rhythm of Love,Diamond Pendant,"This stunning 14K White Gold Rhythm of Love Green Diamond pendant is set with 18 round-cut Green and White diamonds, weighing 3/4 ctw.",,2000,ROL1042GN.jpg
ROL1042P,14K Diamond Rhythm Of Love Pendant,Rhythm of Love,Diamond Pendant,"This stunning 14K Rose Gold Rhythm of Love Diamond pendant is set with 18 round-cut diamonds, weighing 3/4 ctw.",,3500,ROL1042P.jpg
ROL1042Y,14K Diamond Rhythm Of Love Pendant 3/4 ctw,Rhythm of Love,Diamond Pendant,"This stunning 14K Yellow Gold Rhythm of Love Diamond pendant is set with 18 round-cut diamonds, weighing 3/4 ctw.",,3500,ROL1042Y.jpg
ROL1043,14K Diamond Rhythm Of Love Pendant 1 ctw,Rhythm of Love,Diamond Pendant,"This stunning 14K White Gold Rhythm of Love Diamond pendant is set with 19 round-cut diamonds, weighing 1 ctw.",,5000,ROL1043.jpg
ROL1043BL,14K Blue & White Diamond Rhythm Of Love Pendant 1 ctw (3/4 Ct Blue Dia Center),Rhythm of Love,Diamond Pendant,"This stunning 14K White Gold Rhythm of Love Blue & White Diamond pendant is set with 19 round-cut diamonds, weighing 1 ctw.",,3100,ROL1043BL.jpg
ROL1043BRN,14K Brown & White Rhythm Of Love Pendant 1 ctw (3/4 Ct Brown Dia Center),Rhythm of Love,Diamond Pendant,"This stunning 14K White Gold Rhythm of Love Brown Diamond pendant is set with 19 round-cut diamonds, weighing 1 ctw.",,3100,ROL1043BRN.jpg
ROL1043GN,14K Diamond Rhythm Of Love Pendant 1 ctw ( 3/4 Ct Green Dia Center ),Rhythm of Love,Diamond Pendant,"This stunning 14K White Gold Rhythm of Love Green Diamond pendant is set with 19 round-cut green and white diamonds, weighing 1 ctw.",,3100,ROL1043GN.jpg
ROL1043P,14KP Diamond Rhythm Of Love Pendant 1 ctw (3/4 Ct Center),Rhythm of Love,Diamond Pendant,"This stunning 14K Rose Gold Rhythm of Love Diamond pendant is set with 19 round-cut diamonds, weighing 1 ctw.",,5000,ROL1043P.jpg
ROL1043RBRN,14K Diamond Rhythm Of Love Pendant,Rhythm of Love,Diamond Pendant,"This stunning 14K Rose Gold Rhythm of Love Brown Diamond pendant is set with 19 round-cut diamonds, weighing 1 ctw.",,3100,ROL1043RBRN.jpg
ROL1043Y,14K Diamond Rhythm Of Love Pendant 1 ctw (3/4 Ct Center),Rhythm of Love,Diamond Pendant,"This stunning 14K Yellow Gold Rhythm of Love Diamond pendant is set with 19 round-cut diamonds, weighing 1 ctw.",,5000,ROL1043Y.jpg
ROL1044,14K Diamond Rhythm Of Love Pendant 1 1/4 ctw (1 ct Center),Rhythm of Love,Diamond Pendant,"This gorgeous 14K White Gold Rhythm of Love Diamond pendant is set with 21 round-cut diamonds, weighing 1 1/4 ctw. Center diamond weight is 1 ct.",,9500,ROL1044.jpg
ROL1044BL,14K Diamond Rhythm Of Love Pendant 1 1/4 ctw (1 ct Blue Center),Rhythm of Love,Diamond Pendant,"This gorgeous 14K White Gold Rhythm of Love Blue Diamond pendant is set with 21 round-cut diamonds, weighing 1 1/4 ctw. Center diamond weight is 1 ct.",,5000,ROL1044BL.jpg
ROL1044BRN,14K Brown & White Diamond Rythm Of Love Pendant 1 1/4 ctw (1 ct Brown Center),Rhythm of Love,Diamond Pendant,"This gorgeous 14K White Gold Rhythm of Love Brown Diamond pendant is set with 21 round-cut brown and white diamonds, weighing 1 1/4 ctw. Center diamond weight is 1 ct.",,5000,ROL1044BRN.jpg
ROL1044FDP,14K Diamond Rhythm Of Love Pendant 1 1/4 ctw (1 ct HP HT Pink Center),Rhythm of Love,Diamond Pendant,"This gorgeous 14K White Gold Rhythm of Love Pink Diamond pendant is set with 21 round-cut diamonds, weighing 1 1/4 ctw. Center diamond weight is 1 ct.",,18300,ROL1044FDP.jpg
ROL1044GN,14K Diamond Rhythm Of Love Pendant 1 1/4 ctw (1 ct Green Center),Rhythm of Love,Diamond Pendant,"This gorgeous 14K White Gold Rhythm of Love Green Diamond pendant is set with 21 round-cut green and white diamonds, weighing 1 1/4 ctw. Center diamond weight is 1 ct.",,5000,ROL1044GN.jpg
ROL1044P,14KP Diamond Rythm Of Love Pendant 1 1/4 ctw (1 ct Center),Rhythm of Love,Diamond Pendant,"This gorgeous 14K Rose Gold Rhythm of Love Diamond pendant is set with 21 round-cut diamonds, weighing 1 1/4 ctw. Center diamond weight is 1 ct.",,9500,ROL1044P.jpg
ROL1044Y,14K Diamond Rhythm Of Love Pendant 1 1/4 ctw (1 ct Center),Rhythm of Love,Diamond Pendant,"This gorgeous 14K Yellow Gold Rhythm of Love Diamond pendant is set with 21 round-cut diamonds, weighing 1 1/4 ctw. Center diamond weight is 1 ct.",,9500,ROL1044Y.jpg
ROL1045,Silver Diamond Rhythm Of Love Pendant,Rhythm of Love,Diamond Pendant,This Silver Rhythm of Love pendant features a cut-out Silver heart pendant set with 7 round-cut diamonds.,,88.186,ROL1045.jpg
ROL1046,Silver Diamond Rhythm Of Love Pendant,Rhythm of Love,Diamond Pendant,This Silver Rhythym of Love Diamond Pendant features an intertwining design set with 7 round-cut diamonds.,,99,ROL1046.jpg
ROL1046BL,Silver Blue Diamond Rhythm Of Love Pendant,Rhythm of Love,Diamond Pendant,This Silver Rhythym of Love Diamond Pendant features an intertwining design set with 7 round-cut diamonds.,,150,ROL1046BL.jpg
ROL1047,14K Diamond Rhythm Of Love Pendant 3/8 ctw,Rhythm of Love,Diamond Pendant,"This stunning 14K White Gold Rhythm of Love Diamond pendant is set with 17 round-cut diamonds, weighing 3/8 ctw.",,1200,ROL1047.jpg
ROL1048,14K Diamond Rhythm Of Love Pendant,Rhythm of Love,Diamond Pendant,"This stunning 14K White Gold Rhythm of Love Diamond pendant is set with a single round-cut diamond, weighing 1/5 ctw.",,806.1836,ROL1048.jpg
ROL1049A,Silver Aquamarine Rhythm Of Love Pendant,Rhythm of Love,Gemstone Pendant,This simple gemstone pendant necklace is crafted from Silver and set with a single Aquamarine gemstone at center.,,149,ROL1049A.jpg
ROL1049B,Silver Blue Topaz Rhythm Of Love Pendant,Rhythm of Love,Gemstone Pendant,This simple gemstone pendant necklace is crafted from Silver and set with a single Blue Topaz gemstone at center.,,149,ROL1049B.jpg
ROL1049C,Silver Citrine Rhythm Of Love Pendant,Rhythm of Love,Gemstone Pendant,This simple gemstone pendant necklace is crafted from Silver and set with a single Citrine gemstone at center.,,149,ROL1049C.jpg
ROL1049D,Silver Peridot Rhythm Of Love Pendant,Rhythm of Love,Gemstone Pendant,This simple gemstone pendant necklace is crafted from Silver and set with a single Peridot gemstone at center.,,149,ROL1049D.jpg
ROL1049E,Silver Emerald Rhythm Of Love Pendant,Rhythm of Love,Gemstone Pendant,This simple gemstone pendant necklace is crafted from Silver and set with a single Emerald gemstone at center.,,199,ROL1049E.jpg
ROL1049G,Silver Garnet Rhythm Of Love Pendant,Rhythm of Love,Gemstone Pendant,This simple gemstone pendant necklace is crafted from Silver and set with a single Garnet gemstone at center.,,149,ROL1049G.jpg
ROL1049M,Silver Amy Rhythm Of Love Pendant,Rhythm of Love,Gemstone Pendant,This simple gemstone pendant necklace is crafted from Silver and set with a single Amethyst gemstone at center.,,149,ROL1049M.jpg
ROL1049PT,Silver Pink Tourmaline Rhythm Of Love Pendant,Rhythm of Love,Gemstone Pendant,This simple gemstone pendant necklace is crafted from Silver and set with a single Pink Tourmaline gemstone at center.,,149,ROL1049PT.jpg
ROL1049R,Silver Ruby Rhythm Of Love Pendant,Rhythm of Love,Gemstone Pendant,This simple gemstone pendant necklace is crafted from Silver and set with a single Ruby gemstone at center.,,199,ROL1049R.jpg
ROL1049S,Silver Sapphire Rhythm Of Love Pendant,Rhythm of Love,Gemstone Pendant,This simple gemstone pendant necklace is crafted from Silver and set with a single Sapphire gemstone at center.,,199,ROL1049S.jpg
ROL1049SYAL,Silver Sync.Alex Rhythm Of Love Pendant,Rhythm of Love,Gemstone Pendant,This simple gemstone pendant necklace is crafted from Silver and set with a single Aquamarine gemstone at center.,,149,ROL1049SYAL.jpg
ROL1049WT,Silver White Topaz Rhythm Of Love Pendant,Rhythm of Love,Gemstone Pendant,This simple gemstone pendant necklace is crafted from Silver and set with a single White Topaz gemstone at center.,,149,ROL1049WT.jpg
ROL1050,14K Diamond Rhythm Of Love Pendant 1/8 ctw,Rhythm of Love,Diamond Pendant,This simple 14K White Gold Rhythm of Love pendant features a cut-out oval design set with a single round-cut diamond. Total diamond weight is 1/10 ctw.,,700,ROL1050.jpg
ROL1050R,14KP Diamond Rhythm Of Love Pendant 1/8 ctw,Rhythm of Love,Diamond Pendant,This simple 14K Rose Gold Rhythm of Love pendant features a cut-out oval design set with a single round-cut diamond. Total diamond weight is 1/10 ctw.,,700,ROL1050R.jpg
ROL1050Y,14K Diamond Rhythm Of Love Pendant 1/8 ctw,Rhythm of Love,Diamond Pendant,This simple 14K Yellow Gold Rhythm of Love pendant features a cut-out oval design set with a single round-cut diamond. Total diamond weight is 1/10 ctw.,,700,ROL1050Y.jpg
ROL1051,14K Diamond Rhythm Of Love Pendant 1/8 ctw,Rhythm of Love,Diamond Pendant,This simple 14K White Gold Rhythm of Love pendant features a cut-out oval design set with a single round-cut diamond. Total diamond weight is 1/8 ctw.,,700,ROL1051.jpg
ROL1051R,14KP Diamond Rhythm Of Love Pendant 1/8 ctw,Rhythm of Love,Diamond Pendant,This simple 14K Rose Gold Rhythm of Love pendant features a cut-out oval design set with a single round-cut diamond. Total diamond weight is 1/8 ctw.,,700,ROL1051R.jpg
ROL1051Y,14K Diamond Rhythm Of Love Pendant 1/8 ctw,Rhythm of Love,Diamond Pendant,This simple 14K Yellow Gold Rhythm of Love pendant features a cut-out oval design set with a single round-cut diamond. Total diamond weight is 1/8 ctw.,,700,ROL1051Y.jpg
ROL1052BL,14K Blue & White Diamond Rhythm Of Love Pendant 3/8 ctw,Rhythm of Love,Diamond Pendant,This simple 14K White Gold Rhythm of Love Blue Diamond pendant is set with 13 round-cut blue and white diamonds. Total diamond weight is 3/8 ctw.,,1200,ROL1052BL.jpg
ROL1052BLK,14K Black & White Diamond Rhythm Of Love Pendant 3/8 ctw,Rhythm of Love,Diamond Pendant,This simple 14K White Gold Rhythm of Love Black Diamond pendant is set with 13 round-cut black and white diamonds. Total diamond weight is 3/8 ctw.,,1200,ROL1052BLK.jpg
ROL1052DB,14K Brown & White Diamond Rhythm Of Love Pendant 3/8 ctw,Rhythm of Love,Diamond Pendant,This simple 14K White Gold Rhythm of Love Brown Diamond pendant is set with 13 round-cut brown and white diamonds. Total diamond weight is 3/8 ctw.,,1200,ROL1052DB.jpg
ROL1052DBR,14K Brown & White Diamond Rhythm Of Love Pendant 3/8 ctw,Rhythm of Love,Diamond Pendant,This simple 14K White Gold Rhythm of Love Brown Diamond pendant is set with 13 round-cut brown and white diamonds. Total diamond weight is 3/8 ctw.,,1200,ROL1052DBR.jpg
ROL1053,Silver Diamond MOM Rhythm Of Love Pendant,Rhythm of Love,Diamond Pendant,"This Silver Rhythm of Love Diamond pendant features the word ""MOM"" across the pendant and is set with a single diamond at center.",,100,ROL1053.jpg
ROL1054,Silver Diamond MOM Rhythm Of Love Pendant,Rhythm of Love,Diamond Pendant,"This Silver Rhythm of Love Diamond pendant features the word ""MOM"" across the pendant and is bordered with diamonds.",,199,ROL1054.jpg
ROL1055BL,Silver Blue Diamond Rhythm Of Love Pendant,Rhythm of Love,Diamond Pendant,"This eye-catching Silver Rhythm of Love Blue Diamond pendant is set with 13 round-cut blue and white diamonds, weighing 1/3 ctw.",,600,ROL1055BL.jpg
ROL1056BL,Silver Blue & White Rhythm Of Love Pendant 1/3 ctw,Rhythm of Love,Diamond Pendant,"This eye-catching Silver Rhythm of Love Blue Diamond pendant is set with 33 round-cut blue and white diamonds, weighing 1/3 ctw.",,450,ROL1056BL.jpg
ROL1057BLK,Silver Black Diamond Rhythm Of Love Pendant,Rhythm of Love,Diamond Pendant,"This eye-catching Silver Rhythm of Love Heart Black Diamond pendant is set with 35 round-cut black and white diamonds, weighing 1/5 ctw.",,400,ROL1057BLK.jpg
ROL1058,Silver & 10K Diamond Rhythm Of Love Pendant 1/5 ctw,Rhythm of Love,Diamond Pendant,"This Silver and 10K White Gold Rhythm of Love Diamond pendant features a cut-out heart design accented with 44 round-cut diamonds, weighing 1/5 ctw.",,400,ROL1058.jpg
ROL1058R,Silver & 10K Rose Gold Diamond Rhythm Of Love Pendant 1/5 ctw,Rhythm of Love,Diamond Pendant,"This Silver and 10K Rose Gold Rhythm of Love Diamond pendant features a cut-out heart design accented with 44 round-cut diamonds, weighing 1/5 ctw.",,399,ROL1058R.jpg
ROL1058Y,Silver & 10KY Gold Diamond Rhythm Of Love Pendant 1/5 ctw,Rhythm of Love,Diamond Pendant,"This Silver and 10K Yellow Gold Rhythm of Love Diamond pendant features a cut-out heart design accented with 44 round-cut diamonds, weighing 1/5 ctw.",,400,ROL1058Y.jpg
ROL1059,Silver & 10K Diamond Rhythm Of Love Pendant 1/3 ctw,Rhythm of Love,Diamond Pendant,"This Silver and 10K White Gold Rhythm of Love Diamond pendant features a cut-out square design accented with 23 round-cut diamonds, weighing 1/3 ctw.",,700,ROL1059.jpg
ROL1059R,Silver & 10K Rose Gold Diamond Rhythm Of Love Pendant 1/3 ctw,Rhythm of Love,Diamond Pendant,"This Silver and 10K Rose Gold Rhythm of Love Diamond pendant features a cut-out square design accented with 23 round-cut diamonds, weighing 1/3 ctw.",,700,ROL1059R.jpg
ROL1059Y,Silver & 10K Yellow & Diamond Rhythm Of Love Pendant 1/3 ctw,Rhythm of Love,Diamond Pendant,"This Silver and 10K Yellow Gold Rhythm of Love Diamond pendant features a cut-out square design accented with 23 round-cut diamonds, weighing 1/3 ctw.",,700,ROL1059Y.jpg
ROL1060,Silver Diamond Rhythm Of Love Pendant 1/10 ctw,Rhythm of Love,Diamond Pendant,"This Silver and 10K White Gold Rhythm of Love Diamond pendant features a cut-out angel motif accented with 17 round-cut diamonds, weighing 1/10 ctw.",,300,ROL1060.jpg
ROL1060BL,Silver Blue Diamond Rhythm Of Love Pendant 1/10 ctw,Rhythm of Love,Diamond Pendant,"This Silver and 10K White Gold Rhythm of Love Blue Diamond pendant features a cut-out angel motif accented with 17 round-cut blue and white diamonds, weighing 1/10 ctw.",,236.3636,ROL1060BL.jpg
ROL1061,14K Diamond Rhythm Of Love Pendant 1/2 ctw,Rhythm of Love,Diamond Pendant,"This 14K White Gold Rhythm of Love Diamond pendant features 3 descending cut-out circles accented with 61 round-cut diamonds, weighing 1/2 ctw.",,1499,ROL1061.jpg
ROL1061R,14KP Diamond Rhythm Of Love Pendant 1/2 ctw,Rhythm of Love,Diamond Pendant,"This 14K Rose Gold Rhythm of Love Diamond pendant features 3 descending cut-out circles accented with 61 round-cut diamonds, weighing 1/2 ctw.",,1500,ROL1061R.jpg
ROL1061Y,14K Diamond Rhythm Of Love Pendant 1/2 ctw,Rhythm of Love,Diamond Pendant,"This 14K Yellow Gold Rhythm of Love Diamond pendant features 3 descending cut-out circles accented with 61 round-cut diamonds, weighing 1/2 ctw.",,1500,ROL1061Y.jpg
ROL1062,14K Diamond Rhythm Of Love Pendant 1 ctw,Rhythm of Love,Diamond Pendant,"This 14K White Gold Rhythm of Love Diamond pendant features 3 descending cut-out circles accented with 61 round-cut diamonds, weighing 1 ctw.",,2999,ROL1062.jpg
ROL1062R,14KP Diamond Rhythm Of Love Pendant 1 ctw,Rhythm of Love,Diamond Pendant,"This 14K Rose Gold Rhythm of Love Diamond pendant features 3 descending cut-out circles accented with 61 round-cut diamonds, weighing 1 ctw.",,3000,ROL1062R.jpg
ROL1062Y,14K Diamond Rhythm Of Love Pendant 1 ctw,Rhythm of Love,Diamond Pendant,"This 14K Yellow Gold Rhythm of Love Diamond pendant features 3 descending cut-out circles accented with 61 round-cut diamonds, weighing 1 ctw.",,3000,ROL1062Y.jpg
ROL1063,14K Diamond Rhythm Of Love Pendant 1/2 ctw,Rhythm of Love,Diamond Pendant,"This 14K White Gold Rhythm of Love Diamond pendant features 3 descending cut-out squares accented with 51 round-cut diamonds, weighing 1/2 ctw.",,1500,ROL1063.jpg
ROL1063R,14KP Diamond Rhythm Of Love Pendant 1/2 ctw,Rhythm of Love,Diamond Pendant,"This 14K Rose Gold Rhythm of Love Diamond pendant features 3 descending cut-out squares accented with 51 round-cut diamonds, weighing 1/2 ctw.",,1500,ROL1063R.jpg
ROL1063Y,14K Diamond Rhythm Of Love Pendant 1/2 ctw,Rhythm of Love,Diamond Pendant,"This 14K Yellow Gold Rhythm of Love Diamond pendant features 3 descending cut-out squares accented with 51 round-cut diamonds, weighing 1/2 ctw.",,1500,ROL1063Y.jpg
ROL1064,14K Diamond Rhythm Of Love Pendant 1 ctw,Rhythm of Love,Diamond Pendant,"This 14K White Gold Rhythm of Love Diamond pendant features 3 descending cut-out squares accented with 56 round-cut diamonds, weighing 1 ctw.",,3000,ROL1064.jpg
ROL1064R,14KP Diamond Rhythm Of Love Pendant 1 ctw,Rhythm of Love,Diamond Pendant,"This 14K Rose Gold Rhythm of Love Diamond pendant features 3 descending cut-out squares accented with 56 round-cut diamonds, weighing 1 ctw.",,3000,ROL1064R.jpg
ROL1064Y,14K Diamond Rhythm Of Love Pendant 1 ctw,Rhythm of Love,Diamond Pendant,"This 14K Yellow Gold Rhythm of Love Diamond pendant features 3 descending cut-out squares accented with 56 round-cut diamonds, weighing 1 ctw.",,3000,ROL1064Y.jpg
ROL1065,14K Diamond Rhythm Of Love Pendant 1/2 ctw,Rhythm of Love,Diamond Pendant,"This simple, yet elegant 14K White Gold Rhythm of Love diamond pendant is set with 15 round-cut diamonds weighing 1/2 ctw.",,1299,ROL1065.jpg
ROL1065BL,14K Blue Diamond Diamond Rhythm Of Love Pendant,Rhythm of Love,Diamond Pendant,"This simple, yet elegant 14K White Gold Rhythm of Love Blue diamond pendant is set with 15 round-cut blue and white diamonds weighing 1/2 ctw.",,1276.4045,ROL1065BL.jpg
ROL1065BRN,14K Brown Diamond Diamond Rhythm Of Love Pendant,Rhythm of Love,Diamond Pendant,"This simple, yet elegant 14K White Gold Rhythm of Love Brown diamond pendant is set with 15 round-cut diamonds weighing 1/2 ctw.",,1289.2193,ROL1065BRN.jpg
ROL1065PD,14K Pink Diamond Rhythm Of Love Pendant,Rhythm of Love,Diamond Pendant,"This simple, yet elegant 14K White Gold Rhythm of Love Pink diamond pendant is set with 15 round-cut pink and white diamonds weighing 1/2 ctw.",,1620.226,ROL1065PD.jpg
ROL1065R,14KP Diamond Rhythm Of Love Pendant 1/2 ctw,Rhythm of Love,Diamond Pendant,"This simple, yet elegant 14K Rose Gold Rhythm of Love diamond pendant is set with 15 round-cut diamonds weighing 1/2 ctw.",,1300,ROL1065R.jpg
ROL1065Y,14KY Diamond Rhythm Of Love Pendant 1/2 ctw,Rhythm of Love,Diamond Pendant,"This simple, yet elegant 14K Yellow Gold Rhythm of Love diamond pendant is set with 15 round-cut diamonds weighing 1/2 ctw.",,1300,ROL1065Y.jpg
ROL1066E,14K Emerald & Diamond Rhythm Of Love Pendant,Rhythm of Love,Gemstone Pendant,"This colorful 14K White Gold Rhythm of Love Emerald and Diamond pendant is set with 32 round-cut emeralds and diamonds, weighing 1/3 ctw.",,1050,ROL1066E.jpg
ROL1066R,14K Ruby & Diamond Rhythm Of Love Pendant,Rhythm of Love,Gemstone Pendant,"This colorful 14K White Gold Rhythm of Love Ruby and Diamond pendant is set with 32 round-cut emeralds and diamonds, weighing 1/3 ctw.",,1000,ROL1066R.jpg
ROL1066S,14K Sapphire & Diamond Rhythm Of Love Pendant,Rhythm of Love,Gemstone Pendant,"This colorful 14K White Gold Rhythm of Love Sapphire and Diamond pendant is set with 32 round-cut emeralds and diamonds, weighing 1/3 ctw.",,1000,ROL1066S.jpg
ROL1067,14K Diamond Rhythm Of Love Pendant 1/4 ctw,Rhythm of Love,Diamond Pendant,"This stunning 14K White Gold Rhythm of Love Diamond pendant is set with 18 round-cut diamonds, weighing 1/4 ctw.",,900,ROL1067.jpg
ROL1068,14K Diamond Rhythm Of Love Pendant 1/2 ctw,Rhythm of Love,Diamond Pendant,"This stunning 14K White Gold Rhythm of Love Diamond pendant is set with 18 round-cut diamonds, weighing 1/2 ctw.",,1400,ROL1068.jpg
ROL1069,14K Diamond Rhythm Of Love Pendant 3/4 ctw,Rhythm of Love,Diamond Pendant,"This stunning 14K White Gold Rhythm of Love Diamond pendant is set with 18 round-cut diamonds, weighing 3/4 ctw.",,2000,ROL1069.jpg
ROL1069S,14K Sapphire & Diamond Rhythm Of Love Pendant,Rhythm of Love,Gemstone Pendant,"This stunning 14K White Gold Rhythm of Love Sapphire and Diamond pendant is set with 18 round-cut diamonds and a single sapphire, weighing 3/4 ctw.",,1400,ROL1069S.jpg
ROL1070,14K Diamond Rhythm Of Love Pendant 1 ctw,Rhythm of Love,Diamond Pendant,"This eye-catching 14K White Gold Rhythm of Love Diamond pendant is set with 18 round-cut diamonds, weighing 1 ctw.",,3500,ROL1070.jpg
ROL1071,14K Diamond Rhythm Of Love Pendant 1/4 ctw,Rhythm of Love,Diamond Pendant,"This eye-catching 14K White Gold Rhythm of Love Diamond square pendant is set with 13 round-cut diamonds, weighing 1/4 ctw.",,900,ROL1071.jpg
ROL1072,14K Diamond Rhythm Of Love Pendant 1/2 ctw,Rhythm of Love,Diamond Pendant,"This eye-catching 14K White Gold Rhythm of Love Diamond square pendant is set with 17 round-cut diamonds, weighing 1/2 ctw.",,1400,ROL1072.jpg
ROL1073,14K Diamond Rhythm Of Love Pendant 3/4 ctw,Rhythm of Love,Diamond Pendant,"This eye-catching 14K White Gold Rhythm of Love Diamond square pendant is set with 17 round-cut diamonds, weighing 3/4 ctw.",,2000,ROL1073.jpg
ROL1074,14K Diamond Rhythm Of Love Pendant 1 ctw,Rhythm of Love,Diamond Pendant,"This eye-catching 14K White Gold Rhythm of Love Diamond square pendant is set with 17 round-cut diamonds, weighing 1 ctw.",,3500,ROL1074.jpg
ROL1075E,14K Emerald & Diamond Rhythm Of Love Pendant,Rhythm of Love,Gemstone Pendant,"This 14K White Gold Rhythm of Love Emerald and Diamond pendant features a cut-out oval design accented with 45 round-cut diamonds and emeralds, weighing 0.8 ctw.",,1900,ROL1075E.jpg
ROL1075R,14K Ruby & Diamond Rhythm Of Love Pendant,Rhythm of Love,Gemstone Pendant,"This 14K White Gold Rhythm of Love Ruby and Diamond pendant features a cut-out oval design accented with 45 round-cut diamonds and rubies, weighing 0.8 ctw.",,1900,ROL1075R.jpg
ROL1075S,14K Sapphire & Diamond Rhythm Of Love Pendant,Rhythm of Love,Gemstone Pendant,"This 14K White Gold Rhythm of Love Sapphire and Diamond pendant features a cut-out oval design accented with 45 round-cut diamonds and sapphires, weighing 1/5 ctw.",,1900,ROL1075S.jpg
ROL1076,14K Diamond Rhythm Of Love Pendant,Rhythm of Love,Diamond Pendant,"This 14K White Gold Rhythm of Love Diamond pendant features a cut-out circle design accented with 33 round-cut diamonds, weighing 1/3 ctw.",,1100,ROL1076.jpg
ROL1077,14K Diamond Rhythm Of Love Pendant,Rhythm of Love,Diamond Pendant,"This 14K Two-Tone Gold Rhythm of Love Diamond pendant features a cut-out circle design accented with 48 round-cut diamonds, weighing 1/2 ctw.",,1500,ROL1077.jpg
ROL1078,Silver Diamond Rhythm Of Love Pendant,Rhythm of Love,Diamond Pendant,"This 14K White Gold Rhythm of Love Diamond pendant features a cut-out oval design accented with 7 round-cut diamonds, weighing 1/20 ctw.",,200,ROL1078.jpg
ROL1079,Silver Diamond Rhythm Of Love Pendant 1/20 ctw,Rhythm of Love,Diamond Pendant,"This Silver Rhythm of Love Diamond pendant features a cut-out oval design accented with 7 round-cut diamonds, weighing 1/20 ctw.",,200,ROL1079.jpg
ROL1081BL,14K Blue & White Diamond Rhythm Of Love Pendant 3/8 ctw,Rhythm of Love,Diamond Pendant,"This eye-catching 14K Yellow Gold Rhythm of Love Blue Diamond pendant is set with 13 round-cut blue and white diamonds, weighing 3/8 ctw.",,1000,ROL1081BL.jpg
ROL1081BLK,14K Black & White Diamond Rhythm Of Love Pendant 3/8 ctw,Rhythm of Love,Diamond Pendant,"This eye-catching 14K White Gold Rhythm of Love Black Diamond pendant is set with 13 round-cut black and white diamonds, weighing 3/8 ctw.",,1000,ROL1081BLK.jpg
ROL1081BLY,14K Blue & White Diamond Rhythm Of Love Pendant 3/8 ctw,Rhythm of Love,Diamond Pendant,"This eye-catching 14K Yellow Gold Rhythm of Love Blue Diamond pendant is set with 13 round-cut blue and white diamonds, weighing 3/8 ctw.",,999,ROL1081BLY.jpg
ROL1081DB,14K Brown Diamond Rhythm Of Love Pendant 3/8 ctw,Rhythm of Love,Diamond Pendant,"This eye-catching 14K Rose Gold Rhythm of Love Brown Diamond pendant is set with 13 round-cut brown and white diamonds, weighing 3/8 ctw.",,1000,ROL1081DB.jpg
ROL1081DBR,14KP Brown & White Diamond Rhythm Of Love Pendant 3/8 ctw,Rhythm of Love,Diamond Pendant,"This eye-catching 14K Rose Gold Rhythm of Love Brown Diamond pendant is set with 13 round-cut brown and white diamonds, weighing 3/8 ctw.",,999,ROL1081DBR.jpg
